,document,term,tfidf
28642798,1023,24,0.197915716196418
28654935,1023,revolutionari,0.19645385845021482
19730007,1024,seclus,0.3627221327431807
19730960,1024,stab,0.35354957122876907
19733504,1024,woodsboro,0.35354957122876907
19721574,1024,drop,0.2772443972480454
19723453,1024,gruesom,0.27597949431735824
19723468,1024,guard,0.24391021730723483
19725407,1024,latest,0.24391021730723483
19729694,1024,safe,0.24115038229660665
19723996,1024,hollywood,0.2380659783120275
19718854,1024,bodi,0.21599255869389533
154631650,1025,flirtat,0.38207647786730564
154632713,1025,harmless,0.36902005490746176
154631856,1025,freshman,0.3297622300914953
154629784,1025,dad,0.27324823345067367
154633138,1025,hot,0.2680557307575791
154630482,1025,door,0.26508834056902114
154635161,1025,marriag,0.24726450540761402
154636411,1025,obsess,0.24178981587989928
154629119,1025,colleg,0.2175861160998166
154629893,1025,deadli,0.21561254851146244
65440144,1026,cgi,0.2389848687824878
65447763,1026,nostalgia,0.2389848687824878
65448494,1026,persona,0.21017016851381431
65439902,1026,cancel,0.20490692323420964
65440376,1026,circuit,0.20490692323420964
65451806,1026,succumb,0.20052538351553195
65451919,1026,surgeri,0.20052538351553195
65441900,1026,domest,0.19507936209216303
65449650,1026,reliv,0.19348928311292637
65445061,1026,insur,0.18794701104763997
32138730,1027,zarina,0.39229399150810695
32133223,1027,pixi,0.3406557221738411
32126700,1027,dust,0.31513923248182524
32136572,1027,sword,0.29738257395567175
32133206,1027,pirat,0.2780092570510195
32124509,1027,captain,0.22528142194717576
32137026,1027,tinker,0.1675758121397816
32129037,1027,hollow,0.1592192766319977
32130097,1027,keeper,0.15329022033264567
32126960,1027,endless,0.152040761884251
61437162,1028,2505,0.3126120670889462
61450516,1028,smartest,0.29929371964881457
61443822,1028,hibern,0.2898442017578995
61447902,1028,pentagon,0.2898442017578995
61441561,1028,dumb,0.2765258543177679
61438111,1028,averag,0.24231712890474763
61442726,1028,freak,0.23099012365567445
61448550,1028,prostitut,0.21589582552681452
61448042,1028,pick,0.20435342877541127
61448512,1028,project,0.19981559267048934
58969878,1029,deadpool,0.6612302515286538
58971789,1029,franchis,0.5402373105973566
58973581,1029,instal,0.520498033331432
58965972,1029,00,0.0
58965973,1029,000,0.0
58965974,1029,000th,0.0
58965975,1029,006,0.0
58965976,1029,007,0.0
58965977,1029,05pm,0.0
58965978,1029,09,0.0
13531815,103,afoul,0.34024877939055864
13543451,103,relic,0.31575094897327394
13546817,103,undertak,0.30600404549688437
13532486,103,awri,0.26257602218093923
13543613,103,retriev,0.2616020857650761
13546158,103,thief,0.23926030813507804
13534009,103,charm,0.23658274610578045
13538101,103,heist,0.2290416124668637
13536285,103,epic,0.2253461705234176
13546914,103,unlik,0.21411340475446067
135499038,1030,bibl,0.47309678317211856
135513417,1030,virgin,0.38791190665351954
135504806,1030,incomplet,0.2724055598654016
135505965,1030,librari,0.23272639354147853
135508510,1030,pie,0.23272639354147853
135504037,1030,hapless,0.21288681037951704
135497892,1030,advic,0.2001129719581377
135502106,1030,east,0.18595354448720897
135510010,1030,ruin,0.18526381308244985
135504306,1030,hilari,0.17754537620167657
162255778,1031,troll,0.5279510627823297
162255480,1031,timberlak,0.25726195557607173
162245051,1031,dreamwork,0.24630171293606212
162254242,1031,song,0.17696783745591646
162243643,1031,comedi,0.16234037223544065
162250450,1031,music,0.13781501851420624
162246395,1031,funch,0.12863097778803587
162247773,1031,icona,0.12863097778803587
162248795,1031,kunal,0.12863097778803587
162249658,1031,mash,0.12863097778803587
1591533,1032,predat,0.43668611492229964
1580735,1032,alien,0.3288662548272611
1595200,1032,town,0.2633831377702514
1585338,1032,facehugg,0.20816583630385055
1586600,1032,gunnison,0.20816583630385055
1592956,1032,scariest,0.18413632032738095
1594886,1032,terrestri,0.18413632032738095
1587308,1032,hybrid,0.1778439631168998
1581331,1032,backyard,0.17526774094438669
1583193,1032,colorado,0.16722464096261094
57741641,1033,champion,0.6181606761688736
57748610,1033,mma,0.4194910956744659
57742088,1033,comeback,0.3944426711581127
57750062,1033,pick,0.32097356466962595
57754093,1033,trail,0.31062051863300383
57744047,1033,event,0.23890346345734415
57740456,1033,becom,0.17244006957042415
57738915,1033,00,0.0
57738916,1033,000,0.0
57738917,1033,000th,0.0
32502130,1034,notic,0.35961528487363725
32492285,1034,actress,0.3550658801958399
32505824,1034,stalk,0.33088027523717195
32508045,1034,watch,0.3060586987046577
32504952,1034,serial,0.30157255396206356
32506032,1034,stranger,0.2949969313820416
32506053,1034,street,0.2696500456121912
32499043,1034,husband,0.2591515226703394
32499958,1034,killer,0.24192903747586902
32494744,1034,citi,0.22173628405211526
18474907,1035,blind,0.44489679115654807
18479272,1035,girl,0.2697383125271892
18482150,1035,man,0.24014139835294984
18475467,1035,cabin,0.23073649096496845
18486343,1035,shatter,0.23073649096496845
18477262,1035,devast,0.22499528852748665
18484921,1035,quiet,0.21256153157904759
18483682,1035,orphan,0.20206638041707162
18485828,1035,safe,0.20161712790876704
18480846,1035,isol,0.20030356697040816
113078936,1036,educ,0.40829125317005405
113074927,1036,amnesiac,0.2809881238348351
113088140,1036,squiredom,0.2809881238348351
113090382,1036,wart,0.2809881238348351
113084263,1036,needless,0.269017064961032
113088139,1036,squir,0.24400121928772986
113075044,1036,anywher,0.2365813457730295
113083590,1036,mere,0.2195941428922369
113090652,1036,wizard,0.1948430905987752
113082378,1036,knight,0.19110083978552797
17788644,1037,dyne,0.30782720513666617
17795701,1037,pym,0.2981082618669495
17795725,1037,quantum,0.2981082618669495
17792328,1037,lang,0.26715263934325273
17798935,1037,time,0.2517356507563317
17799819,1037,van,0.2492260934676955
17795945,1037,realm,0.24546848831502938
17784374,1037,accomplish,0.236197016819556
17788318,1037,dive,0.23487199895213753
17784961,1037,arrest,0.21277999236609327
84724050,1038,happen,0.32846049993896154
84733085,1038,unsatisfactori,0.30136375518141073
84720094,1038,chang,0.28820759979787464
84724759,1038,importantli,0.26657598549527306
84718302,1038,appreci,0.23756146301562306
84732324,1038,thu,0.2201441398318006
84726068,1038,live,0.213818049685017
84718079,1038,alongsid,0.21164950903529392
84725944,1038,lesson,0.20650331583563436
84717756,1038,abil,0.18535637014566295
78431507,1039,almanac,0.23398308488602834
78441055,1039,nip,0.23398308488602834
78445710,1039,thing,0.22533508938063274
78440097,1039,mcfli,0.22401460206754756
78445477,1039,tannen,0.22401460206754756
78447307,1039,woe,0.21694185095019247
78431012,1039,2015,0.2114557989746989
78430981,1039,1985,0.20697336813171163
78432625,1039,blockbust,0.20697336813171163
78441864,1039,peski,0.20697336813171163
102897943,104,narnia,0.44106952482818756
102904383,104,witch,0.28859379631546017
102888975,104,aslan,0.23034839496176024
102895683,104,jadi,0.23034839496176024
102890907,104,climact,0.22053476241409378
102894079,104,glacial,0.22053476241409378
102904104,104,wardrob,0.20817104759048768
102896866,104,magnific,0.19139453194107767
102896578,104,lion,0.18001884801353024
102901757,104,spectacular,0.17585948820432462
89410434,1040,continent,0.24533445310919727
89412203,1040,event,0.2387359976861151
89407545,1040,acorn,0.2348823630284478
89420063,1040,scrat,0.2348823630284478
89415536,1040,laughter,0.21304069679158175
89409685,1040,catapult,0.20959852108666974
89410535,1040,cosmic,0.19914643100592028
89413968,1040,herd,0.19914643100592028
89420240,1040,set,0.1988883473164481
89420977,1040,spill,0.195172730780318
129355439,1041,new,0.42802062739907754
129350473,1041,expend,0.3018011435015806
129359994,1041,team,0.27834188205209776
129355808,1041,option,0.25495665823844915
129359879,1041,tactic,0.25315680351704706
129359868,1041,tabl,0.23558486205622398
129359577,1041,style,0.2325316786029012
129349249,1041,defens,0.22629693954834093
129361536,1041,weapon,0.19848232840477856
129347095,1041,blood,0.19775127125343125
2213841,1042,racer,0.5229958262098344
2212864,1042,partner,0.24786859179416246
2216408,1042,supercharg,0.22017346343784683
2208034,1042,gauntlet,0.2034244325162991
2217923,1042,vehicl,0.1887779222203831
2214379,1042,revolv,0.18295054405306935
2203021,1042,arrog,0.17825900785313983
2203085,1042,associ,0.1743319420699448
2211075,1042,manner,0.16620151313152162
2204004,1042,bounti,0.1588223491752114
381354,1043,primat,0.3603389114087248
372656,1043,chimpanze,0.3329272175779408
382194,1043,revolt,0.32155033671941485
376519,1043,harm,0.3023500976188106
373467,1043,cruel,0.2679825057738421
375095,1043,facil,0.25790235468526684
376743,1043,highli,0.24752670995724255
384153,1043,suburban,0.23634041604470746
377429,1043,intellig,0.2346573231133306
371791,1043,born,0.2330429473404288
25745963,1044,porn,0.3572695730393002
25746250,1044,proven,0.2952129256578719
25737107,1044,career,0.2534899482891289
25738317,1044,current,0.23390298521174033
25735109,1044,adult,0.20142508517034538
25748630,1044,star,0.15995059906825998
25737842,1044,conduit,0.15920125771287316
25738549,1044,decreas,0.15920125771287316
25742590,1044,juxtapos,0.15920125771287316
25744233,1044,misogyni,0.15920125771287316
11186033,1045,kano,0.5400473419867093
11186097,1045,kenshi,0.27002367099335467
11182736,1045,earthrealm,0.25035756330077374
11194000,1045,vicious,0.24402649071745144
11184850,1045,hellbent,0.23885362776547
11186217,1045,knee,0.23448003445745355
11178841,1045,annihil,0.23069145560819274
11193139,1045,town,0.2277661022617291
11192328,1045,submit,0.22436038302487046
11179600,1045,bend,0.2061495787362764
74989514,1046,drama,0.38282775813282666
74985335,1046,abandon,0.3578710949994598
74996554,1046,professor,0.35442143460213144
74986887,1046,bond,0.33903267495391365
74989388,1046,dog,0.33799226807757476
74986392,1046,base,0.30447561349988733
74988077,1046,colleg,0.29927068603131657
75000280,1046,true,0.27349966254933633
74991998,1046,home,0.23983860360547385
74999160,1046,stori,0.23660461062077248
10242781,1047,genovia,0.28407876373712426
10237099,1047,absent,0.24654218421028476
10241798,1047,european,0.21924746312948357
10238834,1047,bright,0.21444146648930879
10237917,1047,awkward,0.21334741510204766
10240345,1047,crown,0.20660616988666675
10236729,1047,15,0.20411065715470483
10251639,1047,throne,0.20180017324649194
10248245,1047,princ,0.19896392198313465
10252345,1047,unknown,0.19227920854261468
32425185,1048,airlin,0.39864471929570305
32438930,1048,succumb,0.38035076903865234
32435879,1048,poison,0.34984941765967553
32430211,1048,flight,0.3164134060392946
32430282,1048,food,0.3068166362179039
32430083,1048,fighter,0.29589032646394997
32435742,1048,pilot,0.2925047328387391
32427937,1048,control,0.24387334906981484
32428170,1048,crew,0.24265693082539588
32429719,1048,ex,0.23763211932317035
