term,Drama,Comedy,Thriller,Action,Adventure,Horror,Romance,Family,Crime,Science Fiction,Fantasy,Animation,Mystery,History,Music,TV Movie,War,Documentary,Western
contribut,0.1931191588247293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3175348281114009,nan,0.2558287696032027,nan
jazz,0.22276557991581883,0.18499810216405116,0.315125587963495,nan,0.1967819295751311,nan,0.2104586298230382,0.18499810216405116,0.1864935722814001,nan,0.1732142747529712,nan,0.2453235307824061,nan,0.2722426997345768,0.2884259440641603,nan,nan,nan
convers,0.1902995424321337,0.1997441895342242,0.22499848017862104,0.2142058355419318,nan,0.2692189121372201,0.1997441895342242,nan,nan,nan,nan,nan,0.16364824871985473,nan,nan,0.2663545311901584,nan,nan,nan
hip,0.27460410400281654,0.27566993814042856,0.3073773158832427,0.3135103364082638,nan,0.3135103364082638,0.27932247501340457,0.2764157828879028,nan,nan,nan,nan,nan,nan,0.24000909614567134,0.262835795603539,nan,nan,nan
hop,0.3323540441624915,0.3150015632871334,0.2883169821828351,0.2913643456435586,nan,0.3115528277891796,0.3001050915195762,0.31703366753159257,nan,0.3331612364825066,nan,nan,nan,nan,0.3061007272350839,0.2630062974909315,nan,nan,nan
mix,0.2886060113276809,0.2237748271810009,0.22737038940072013,0.3047899752257393,0.2748049300628038,nan,0.2238491316377459,0.2454063727823967,0.25604494872743105,0.1857954655448733,0.3222049990897885,0.2426660652982041,0.1752358912371272,nan,nan,0.2522483168559885,nan,0.18955472148255,nan
biggest,0.23718243258160007,0.2575057298393008,0.24529768136642582,0.21715851659351376,0.23899667055450102,nan,0.2844511175125334,0.19167054964052865,0.2704527580588746,0.2290626068289191,nan,0.193683832723798,0.1991185601640263,nan,0.2953022035650107,0.20066308902655716,nan,nan,nan
perform,0.2491646618153492,0.2533468067404291,0.199847020126174,0.2480758297957822,0.2797814620610039,0.24644166506793397,0.27528654782694795,0.260566793824343,0.26018991292029436,0.2765746447141067,nan,0.2522580385795932,0.2241226497456259,nan,0.32011413397062766,0.202752089694861,nan,0.25586572068856417,nan
insurg,0.3159589235292508,nan,0.208647330970024,0.2279417535010673,nan,nan,nan,nan,nan,0.25922376919213586,nan,nan,nan,nan,nan,nan,0.3159589235292508,nan,nan
breed,0.183808506806725,nan,0.2575099913223991,0.23776497352819218,0.2227927132339008,0.24462929765323005,nan,nan,nan,0.29280072599938767,0.2144812270634908,0.286633993210032,0.286633993210032,nan,nan,0.167680071011864,nan,nan,nan
